Q,"18194",82,homo
B,"12130",82,homo
I,"16328",82,homo
Q,"28458",82,hetero
B,"17728",82,hetero
I,"19128",82,hetero
Q,"25659",83,homo
B,"16795",83,homo
I,"18194",83,homo
Q,"27059",83,hetero
B,"17261",83,hetero
I,"21460",83,hetero
Q,"19128",84,homo
B,"18662",84,homo
I,"15395",84,homo
Q,"27525",84,hetero
B,"16795",84,hetero
I,"19127",84,hetero
Q,"23327",85,homo
B,"14929",85,homo
I,"16795",85,homo
Q,"30791",85,hetero
B,"15862",85,hetero
I,"20994",85,hetero
Q,"24259",86,homo
B,"18662",86,homo
I,"18194",86,homo
Q,"27525",86,hetero
B,"17262",86,hetero
I,"19594",86,hetero
Q,"26593",87,homo
B,"18661",87,homo
I,"18195",87,homo
Q,"30324",87,hetero
B,"19127",87,hetero
I,"20994",87,hetero
Q,"24260",88,homo
B,"18661",88,homo
I,"13063",88,homo
Q,"26126",88,hetero
B,"19128",88,hetero
I,"22860",88,hetero
Q,"21926",89,homo
B,"21461",89,homo
I,"20994",89,homo
Q,"32657",89,hetero
B,"20994",89,hetero
I,"21460",89,hetero
Q,"28459",90,homo
B,"22860",90,homo
I,"20994",90,homo
Q,"33590",90,hetero
B,"18194",90,hetero
I,"22860",90,hetero
Q,"27992",91,homo
B,"19594",91,homo
I,"18662",91,homo
Q,"34523",91,hetero
B,"18661",91,hetero
I,"24259",91,hetero
Q,"29391",92,homo
B,"19594",92,homo
I,"20994",92,homo
Q,"35923",92,hetero
B,"20061",92,hetero
I,"24726",92,hetero
Q,"22860",93,homo
B,"22393",93,homo
I,"13063",93,homo
Q,"34056",93,hetero
B,"21927",93,hetero
I,"26593",93,hetero
Q,"27526",94,homo
B,"20061",94,homo
I,"21461",94,homo
Q,"34990",94,hetero
B,"20994",94,hetero
I,"26125",94,hetero
Q,"26593",95,homo
B,"22394",95,homo
I,"21927",95,homo
Q,"34523",95,hetero
B,"20994",95,hetero
I,"26126",95,hetero
Q,"28458",96,homo
B,"22393",96,homo
I,"20528",96,homo
Q,"28924",96,hetero
B,"21460",96,hetero
I,"25193",96,hetero
Q,"30324",97,homo
B,"24259",97,homo
I,"20061",97,homo
Q,"34056",97,hetero
B,"21460",97,hetero
I,"26126",97,hetero
Q,"24260",98,homo
B,"22860",98,homo
I,"23793",98,homo
Q,"34990",98,hetero
B,"24259",98,hetero
I,"28458",98,hetero
Q,"28925",99,homo
B,"24260",99,homo
I,"21927",99,homo
Q,"35923",99,hetero
B,"22861",99,hetero
I,"23326",99,hetero
Q,"34990",2,homo
B,"35456",2,homo
I,"32191",2,homo
Q,"28925",2,hetero
B,"8398",2,hetero
I,"5598",2,hetero
Q,"9330",3,homo
B,"6998",3,homo
I,"6065",3,homo
Q,"12597",3,hetero
B,"7464",3,hetero
I,"7465",3,hetero
Q,"13063",4,homo
B,"7931",4,homo
I,"9331",4,homo
Q,"12596",4,hetero
B,"7930",4,hetero
I,"6997",4,hetero
Q,"10264",5,homo
B,"6998",5,homo
I,"7931",5,homo
Q,"11664",5,hetero
B,"8864",5,hetero
I,"8863",5,hetero
Q,"13062",6,homo
B,"9331",6,homo
I,"8864",6,homo
Q,"13529",6,hetero
B,"8864",6,hetero
I,"8864",6,hetero
Q,"13996",7,homo
B,"11197",7,homo
I,"9331",7,homo
Q,"14929",7,hetero
B,"9331",7,hetero
I,"24259",7,hetero
Q,"19594",8,homo
B,"11663",8,homo
I,"12597",8,homo
Q,"18194",8,hetero
B,"9797",8,hetero
I,"11663",8,hetero
Q,"18195",9,homo
B,"12596",9,homo
I,"10730",9,homo
Q,"17262",9,hetero
